City,Year,DOMESTIC,FOREIGNER,TOTAL
Johor,2019,5020019,2548685,7568704
Johor,2021,1943093,10180,1953273
Johor,2022,5730117,2039675,7769792
Kedah,2019,2663052,1583215,4246267
Kedah,2021,1545860,7890,1553750
Kedah,2022,3214369,589439,3803808
Kelantan,2019,1050577,49211,1099788
Kelantan,2021,473601,1790,475391
Kelantan,2022,1267208,36969,1304177
Kuala Lumpur,2019,7397154,10931619,18328773
Kuala Lumpur,2021,2269693,47797,2311490
Kuala Lumpur,2022,8330471,4281244,12611715
Labuan,2019,430038,75447,505485
Labuan,2021,146331,2003,148334
Labuan,2022,354819,31025,385844
Melaka,2019,3252526,1465374,4717899
Melaka,2021,906686,10445,917131
Melaka,2022,3275627,536249,3811876
Negeri Sembilan,2019,1928835,459539,2388373
Negeri Sembilan,2021,638649,8511,647160
Negeri Sembilan,2022,1887811,89048,1976859
Pahang,2019,8877064,2754449,11631513
Pahang,2021,1911852,7631,1919483
Pahang,2022,8329953,1689554,10019507
Perak,2019,2623351,293256,2916607
Perak,2021,1270301,4554,1274855
Perak,2022,4387020,333306,4720326
Perlis,2019,179724,5700,185424
Perlis,2021,99366,88,99454
Perlis,2022,264470,4709,269179
Pulau Pinang,2019,3541246,2848750,6389995
Pulau Pinang,2021,1309198,11190,1320388
Pulau Pinang,2022,4327806,1256628,5584434
Putrajaya,2019,306920,178498,485418
Putrajaya,2021,131950,1443,133393
Putrajaya,2022,398834,56610,455444
Sabah,2019,4228391,3057376,7285767
Sabah,2021,1255960,3246,1259206
Sabah,2022,4731974,677103,5409077
Sarawak,2019,4306725,539599,4846324
Sarawak,2021,3074724,9466,3084190
Sarawak,2022,5676138,618251,6294389
Selangor,2019,3548963,1866153,5415116
Selangor,2021,1672198,66829,1739027
Selangor,2022,5170158,1572497,6742655
Terengganu,2019,1738426,179324,1917750
Terengganu,2021,1222617,1677,1224294
Terengganu,2022,2701850,86846,2788696
